secs,cad,hr,km,kph,nm,watts,alt,lon,lat,headwind,slope,temp,interval,lrbalance,lte,rte,lps,rps,smo2,thb,o2hb,hhb
1,35,71,0.0019,6.696,0,88,157.6,-1.66641900,53.79856300,0,0,11,0,-255,0,0,0,0,0,0,0,0
2,45,71,0.0041,7.452,0,151,157.6,-1.66642100,53.79854200,0,0,11,0,-255,0,0,0,0,0,0,0,0
3,52,71,0.008,9.5868,0,298,157.6,-1.66642000,53.79850700,0,0,11,0,-255,0,0,0,0,0,0,0,0
4,56,71,0.011,9.9252,0,316,157.6,-1.66641800,53.79848100,0,0,11,0,-255,0,0,0,0,0,0,0,0
5,61,71,0.0134,9.684,0,333,157.6,-1.66641800,53.79845900,0,0,11,0,-255,0,0,0,0,0,0,0,0
6,64,71,0.0184,11.8872,0,351,157.6,-1.66641300,53.79841400,0,0,11,0,-255,0,0,0,0,0,0,0,0
7,66,71,0.0231,13.6512,0,345,157.6,-1.66640700,53.79837100,0,0,11,0,-255,0,0,0,0,0,0,0,0
8,68,71,0.0271,13.752,0,345,157.6,-1.66640200,53.79833500,0,0,11,0,-255,0,0,0,0,0,0,0,0
9,70,71,0.0327,15.5808,0,360,157.6,-1.66639700,53.79828600,0,0,11,0,-255,0,0,0,0,0,0,0,0
10,70,71,0.0376,17.4024,0,370,157.6,-1.66639100,53.79824100,0,0,11,0,-255,0,0,0,0,0,0,0,0
11,71,71,0.0423,17.2152,0,367,157.6,-1.66638500,53.79819900,0,0,11,0,-255,0,0,0,0,0,0,0,0
12,72,70,0.0471,17.3016,0,358,157.6,-1.66637300,53.79815700,0,0,11,0,-255,0,0,0,0,0,0,0,0
13,73,69,0.0527,18.432,0,358,157.6,-1.66636600,53.79810800,0,0,10,0,-255,0,0,0,0,0,0,0,0
14,73,69,0.0571,17.5608,0,378,157.6,-1.66636000,53.79806800,0,0,11,0,-255,0,0,0,0,0,0,0,0
15,73,69,0.0623,17.748,0,382,157.6,-1.66635400,53.79802200,0,0,11,0,-255,0,0,0,0,0,0,0,0
16,69,69,0.0673,17.9928,0,385,157.6,-1.66634900,53.79797600,0,0,11,0,-255,0,0,0,0,0,0,0,0
17,53,69,0.0716,17.6328,0,374,157.6,-1.66634300,53.79793600,0,0,11,0,-255,0,0,0,0,0,0,0,0
18,38,69,0.0754,16.3872,0,363,157.6,-1.66633500,53.79790300,0,0,11,0,-255,0,0,0,0,0,0,0,0
